,Glyph,Keep,English+,English Tailored
1,😀,TRUE,"Cheez, Grin, Smiley","Say Cheese, Tickled Pink, Good Spirits, Pearly Whites"
2,😃,TRUE,"Bandit, Grin, Smiley","Sorry Not Sorry, Good Spirits"
3,😄,TRUE,"Yay, Yippee, Smiley",Good Spirits
4,😁,TRUE,"Cheezy, Grin, Braces","Say Cheese, Picture Day, Pearly Whites"
5,😆,TRUE,"Haha, Laugh, Giggle",Just For Laughs
6,🥹,TRUE,"Awww, Nostalgia",They Really Love Me!
7,😅,TRUE,"Oopsie, Fumble, Smiley",Whoopsie Daisy
8,😂,TRUE,"LOL, Laugh, Dorp, Millennial, IJBOL",
9,🤣,TRUE,"ROFL, Laugh, Hilarious, IJBOL, LOL",
10,🥲,TRUE,"Sniffle, Wisty, Tearjerker","Dramatic Single Tear, Oh Okay"
11,☺️,TRUE,"Blushie, Cutie, Hehe, Smiley",
12,😊,TRUE,"Joy, Blushie, Smiley",
13,😇,TRUE,"Angel, Saint, Halo","You're Beautiful, You're Amazing, You're The Best, You're My Hero, One In A Million"
14,🙂,TRUE,"Smile, Normie, NPC","Normal Spongebob, Nice Guy"
15,🙃,TRUE,"Cootie, Whoops, Downunda, Verso",180 Rotate
16,😉,TRUE,"Boop, Winkie, Secret",
17,😌,TRUE,"Phewf, Relief, Zen, EZPZ","In My Lane, Unbothered & Unphased, Moisturized & Thriving"
18,😍,TRUE,"Woowoo, Enamor, Lovie",
19,🥰,TRUE,"Dawww, Luva",
20,😘,TRUE,"Smooch, Mwah, Kith, Bisou",
21,😗,TRUE,"Bisou, Oop",
22,😙,TRUE,"Peck, Kith, Cheekie, Bisou",Whistle A Tune
23,😚,TRUE,"Snog, Kith, Bisou",
24,😋,TRUE,"Chower, Yummo, Delish, Epicurean, Gourmand","Bon Appétit, Yum Yum, Seconds Please, Molecular Gastronomist, Compliments 2 Da Chef, Chowin Down, Lip Smacker, Bon Vivant, Diggin In, Welcome 2 Flavour Town, Hungry 4 More, Tastes Goodman"
25,😛,TRUE,"Bart, Brat",
26,😝,TRUE,"Bloopy, Trickster, Hehe, Jokes",
27,😜,TRUE,"Goofie, Hehe, Gotcha",
28,🤪,TRUE,"Goofus, Wahoo",Jibbery Jabberer
29,🤨,TRUE,"Snarko, Sus, Hmmm, Dreamworks",Dyspeptic Skeptic
30,🧐,TRUE,"Mistah, Aesthete, Connoisseur, Monocle, Jeeves",Hm Yes Quite Indeed
31,🤓,TRUE,"Dorkus, Nerd, Geek, Dingus, Bucky, Millhouse","Um Actually, Citation Needed, That's My Quant, Buddy Holly"
32,😎,TRUE,"Coolguy, Shades, 2Cool",Heck Yeah Brother
33,🥸,TRUE,"Eugene, Groucho, Incognito, Disguise, Costume","Master of Disguise, Incognito Mode"
34,🤩,TRUE,"Starface, WOW, Amaze, OMG",
35,🥳,TRUE,"Partay, Woohoo, Celebration, Doot-Doot, Cheers",Mission Accomplished
37,😏,TRUE,"Smirk, Heh, Sneak","Sittin Pretty, Just As I Planned, Basking In Victory"
38,😒,TRUE,Jar Jar,"U Gotta B Kissing Me, Yeah Right, Ugh As If"
40,😞,TRUE,Wretch,
41,😔,TRUE,Moocher,
42,😟,TRUE,Horchacha,
43,😕,TRUE,"Sadness, Pout",
44,🙁,TRUE,Yuh-Oh,
45,☹️,TRUE,Frown,
46,😣,FALSE,,
47,😖,TRUE,Whoopi,
48,😫,TRUE,Yak,
49,😩,TRUE,Baww,
50,🥺,TRUE,"Uwu, Sadboi, Softie, Pwease",
51,😢,TRUE,Nooooo,
52,😭,TRUE,Feelz,
53,😤,TRUE,Chacho,
54,😠,TRUE,Furor,
55,😡,FALSE,Patata,
56,🤬,FALSE,Foofoo,
57,🤯,TRUE,"Whoa, Mindblown, Surprise, Oppenheimer","Mind = Blown, RIP My Last Neuron, Brain.exe Has Crashed, Memory Leak, No Cogito, Clearin My Brain Cache, Factory Reset, Galaxy Brain"
58,😳,TRUE,"Uh-Oh, Whoopsie, Uhhhh","Oh Lordie, Too Late, Uh-Oh Spaghettio, Well Then..., Heavens To Betsy"
59,🥵,TRUE,Blunder,Oops My Bad
60,🥶,TRUE,"Chill. Freeze, Cool, Ice-Man, Mr Freeze","Stone Cold Steve Austen, Cryotherapy Appointment, Pretty Chill Guy, Brain Freeze, When Texas Freezes Over, Ice Ice Baby, They Sent Me To Siberia, Freezer Burn, Iceman Cometh, No Country For Warm Men, Klondike Barfly, Frozen Assets, July In Nunavut"
61,😶‍🌫️,TRUE,"Foggie, Sauna, Banya, Schvitz","Spa Day, Foggy Recall"
62,😱,TRUE,"Koopa, EEEE, Yikes, Spook, Scream","¡Ay caramba!, Heebiest Jeebiest"
63,😨,TRUE,Mistake,
64,😰,TRUE,Zonkus,
65,😥,TRUE,Youpie,
66,😓,TRUE,Toot,
67,🤗,TRUE,"Hooray, Yay, Yippee, Cheer","Jazz Hands, Hug It Out"
68,🤔,TRUE,"Thinker, Ponderer, Hmmmm, Philosopher","Freshman Philosophy, Philosaurus Rex"
69,🫣,TRUE,"Gotchya, Peek, Spooked, Skip","Fast Forward, Can't Unsee, Eye Bleach Pls, HR Violation, Can't Mind My Business, Can't Look Away, Casual Observer, Spectator Sport, No Peeking"
70,🤭,TRUE,"Boo-Boo, Teehee","I Lost The Game, Little Old Me"
71,🫢,TRUE,"OMG, Oops","And I Oop, Tea Spilled"
72,🫡,TRUE,"Respect, Salute, 10-4",Ay Ay Cap'n
73,🤫,TRUE,"Shush, Shhhh, Quiet, Silence, Lynch","Club Silencio, I Lost The Game"
74,🫠,TRUE,"Melt, Puddle, Ded, Heatwave, Fondue",Buyer's Remorse
75,🤥,TRUE,"Pinocchio, Confession, Whoopsie, Fibbie",Caught in 4K
76,😶,TRUE,"NPC, Oop, Instrumental, Ambient","Silent Retreat, Silent Rave, Mime Practice, On Mute, No Words, I'm Speechless, No Comment"
77,🫥,FALSE,,
78,😐,TRUE,"Neutral, Merp, Mkay",Not Sold
79,🫤,TRUE,"Uhhhh, Dang, Meh",
80,😑,TRUE,"Nuh-Uh, Zero, Nope, NPC, Squint",Surprise Surprise
81,🫨,TRUE,"Wut, Shiver, Shooketh, Twitch, Earfquake, Tectonic","Bass Boosted, Whoop De Doo, Bobble Head"
82,😬,TRUE,"Gaffie, Yikes, Ruhroh, Dang, Grimace",
83,🙄,TRUE,"Ehrm, Eyeroll, Sarcasm, Suuuuure, As-If, ","Sure Jan, Just One More Lane Bro"
84,😯,TRUE,"Osheezi, Rollie, Pollie, Ollie, Surprise, Whoa, Huh",
85,😦,TRUE,"Huwah, Wot, Noway",
86,😧,TRUE,"Spoilers, Finale, Surprise, Plot-twist",Season Finale
87,😮,TRUE,"Owooza, Whoa, Huh, Plot-twist, Ruveal",
88,😲,TRUE,"Gasp, omg, Surprise, Shock, Cliffhanger","Who Authorized This?, What In Tarnation, Pardon Me?, Astonished Dot Com, Bruh Whut, Lost For Words"
89,🥱,TRUE,"Yawnz, Bore, EOD, Sleepy","Asleep at the Wheel, The Coffee Was Decaf, Noddin Off, Runnin On Empty, Pillow ASAP, Passin Out, So Over This, Bored Beyond Belief, Zoning Out, Barely Conscious"
90,😴,TRUE,"Snooza, Honkshoo, Sweetdreamz, Offline, Aurora, Sleepy","Sleeping Beauty, Rock-A-Bye Rider, Snooze Button"
91,🤤,FALSE,Droolz,
92,😪,TRUE,"Snore, Snoozie, Honkshoo, Sweetdreams",
93,😮‍💨,TRUE,"Oof, Exhale ","NUMTOTs Against Vaping, Cough Up The Money"
94,😵,TRUE,"Shock, DOA, Out","Dazed & Confused, Out Cold"
95,😵‍💫,TRUE,"Dizzy, Whoa, Spins","Lucille Two, You Spin Me Right Round, Right Round Like a Record"
96,🤐,TRUE,"Zippity, Shush, NDA","Zip It, Lips Sealed, Hush Money, On Mute, Fifth Amendment, Mindin My Business, Mum's The Word, Zipsy Lipsy"
97,🥴,TRUE,"Wooze, Whoa, Uh-Oh, Awooga",
98,🤢,TRUE,"Woozy, Ruhroh, Overboard, Ick","Gut Feeling, Gag Reflex, Holding Back Gags, Vom Dot Com, Physically Ill, Under The Weather, Stomach In Knots, Welcome To Six Flags, Got The Ick, Fidel Gastro, Absolutely Not, Ewwwwww, Visibly Unwell, Horrifically Bad Taste, Absolutely Vile, Utterly Repugnant, That's Nasty"
99,🤮,FALSE,,
100,🤧,TRUE,"Sneeze, Sniffles, Achoo","Under The Weather, Pass Me The Benadryl, Allergy Season, Achoochoo Train, Gesundheit!"
101,😷,TRUE,Mask,"Quentin Quarantino, Mask On, Doctor's Orders, House Arrest"
102,🤒,TRUE,"Cold, Sniffles, Fever, Temp","Fever Pitch, Boiling Over, Cowbell Fever, Burnin Up, Sweatin Bullets, Mercury In Retrograde, Sick Day, Down Bad, Send A Nurse, Doctor's Note Secured, Lying In State"
103,🤕,TRUE,"Owie, Booboo, Headache, Bonk",Tough Cookie
104,🤑,TRUE,"Pyramid, Richie, Scrooge, Stonks, Dogecoin, Enron ","Lehman Bros Risk Mgmt, Filthy Rich, Pyramid Schemer"
105,🤠,TRUE,"Howdy, Cowboy, Pardner, Rooty-Tooty, Bandit, Yeehaw, Rodeo, Bill, Buck, Spur, Lasso","Saddle Up, Giddy Up, Back in the Saddle, Exes From Texas"
106,😈,TRUE,"Imp, Mischief, Trickster, Demon","Muahahaha, I Love Prada, El Diablo, Faustian Bargain, Speak Of The Devil"
107,👿,TRUE,"Imp, Mischief, Trickster, Demon",My Plans Are Foiled
108,👹,TRUE,"Bugbear, Spookie, Ogre, Demon, Spirit, Goblin","Sleep Paralysis Demon, Ooga Booga, Spookie Pookie, Goblin Mode"
109,👺,TRUE,Troll,"Seething Internally, Seeing Red"
110,🤡,TRUE,Krusty,"Last Laugh, Why So Serious, Infinite Jest, Joke's On U, Clown Car, Comic Relief, Mr. Big Shoes, Clown Behaviour"
111,💩,FALSE,,
